sample_id,Contig_ID,Contig_length,MEGARes group,MGE gene,Distance,Occurences,ARG_position,MGE_position,Low_Coverage_Flag,LowCov_ARG_Pct,LowCov_MGE_Pct
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:173750,5173,1,11223:11946,2972:6050,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:179420,4691,1,11223:11946,6051:6532,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:173748,3594,1,11223:11946,6533:7629,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:179426,3285,1,11223:11946,7686:7938,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:184574,31172,1,11223:11946,43118:45065,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:176788,84057,1,11223:11946,96003:96375,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:176783,90642,1,11223:11946,102588:102942,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:181174,91877,1,11223:11946,103823:104165,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:181170,93949,1,11223:11946,105895:107038,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:176757,100656,1,11223:11946,112602:113298,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:181195,101391,1,11223:11946,113337:113895,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:181194,101950,1,11223:11946,113896:114644,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:181193,102974,1,11223:11946,114920:115103,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:176754,103158,1,11223:11946,115104:115353,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:vir:108541,104025,1,11223:11946,115971:120493,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:vir:1915,108876,1,11223:11946,120822:121184,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:vir:95339,109683,1,11223:11946,121629:121839,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:183003,109894,1,11223:11946,121840:122262,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:176040,110932,1,11223:11946,122878:123118,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:176039,111311,1,11223:11946,123257:123494,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:172516,111549,1,11223:11946,123495:124626,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:172518,114245,1,11223:11946,126191:126815,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:172519,114878,1,11223:11946,126824:127286,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:172520,115393,1,11223:11946,127339:128446,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:172521,116535,1,11223:11946,128481:129123,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:172522,117180,1,11223:11946,129126:130497,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:172523,118720,1,11223:11946,130666:131338,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:172524,119393,1,11223:11946,131339:132798,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:172517,278747,1,11223:11946,290693:291944,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:181225,281776,1,11223:11946,293722:294114,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:181191,288786,1,11223:11946,300732:301314,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:vir:10066,289941,1,11223:11946,301887:302037,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:176758,292140,1,11223:11946,304086:304372,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:181197,292567,1,11223:11946,304513:304810,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:vir:108544,292865,1,11223:11946,304811:306781,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:176763,294854,1,11223:11946,306800:307241,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:176764,295296,1,11223:11946,307242:307765,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:181203,295820,1,11223:11946,307766:307938,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:176765,295993,1,11223:11946,307939:308282,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:181166,296337,1,11223:11946,308283:308469,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:176058,296542,1,11223:11946,308488:308851,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:181168,296906,1,11223:11946,308852:308988,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:176767,297127,1,11223:11946,309073:309457,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:176073,299110,1,11223:11946,311056:311206,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:176074,299370,1,11223:11946,311316:311532,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:176779,299587,1,11223:11946,311533:312029,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:176780,300084,1,11223:11946,312030:312487,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:181180,302624,1,11223:11946,314570:315119,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:181182,305056,1,11223:11946,317002:317209,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:176786,305264,1,11223:11946,317210:318798,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:181184,306853,1,11223:11946,318799:320293,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:181206,308788,1,11223:11946,320734:321763,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:176790,309820,1,11223:11946,321766:322189,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:176791,310244,1,11223:11946,322190:322535,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:181209,310600,1,11223:11946,322546:323125,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:181210,311180,1,11223:11946,323126:323517,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:181211,311572,1,11223:11946,323518:324265,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:181212,312334,1,11223:11946,324280:324703,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:181213,312758,1,11223:11946,324704:325119,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:176797,313174,1,11223:11946,325120:327673,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:176772,315728,1,11223:11946,327674:327999,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:176773,316054,1,11223:11946,328000:328697,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:181218,316756,1,11223:11946,328702:329446,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:176814,317501,1,11223:11946,329447:330015,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:181220,318129,1,11223:11946,330075:333558,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:176798,321664,1,11223:11946,333610:335677,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:179433,324018,1,11223:11946,335964:336258,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:163818,334699,1,11223:11946,346645:348928,None,0,0
ERR2198632,NODE_8_length_416683_cov_84.044397,416683,NFSA,gene:proph:179418,401709,1,11223:11946,413655:414111,None,0,0
ERR2198632,NODE_9_length_397052_cov_101.700616,397052,YJAA,gene:plasmid:16099,37447,1,144:528,37975:39597,None,0,0
ERR2198632,NODE_9_length_397052_cov_101.700616,397052,YJAA,gene:plasmid:121458,46715,1,144:528,47243:47679,None,0,0
ERR2198632,NODE_9_length_397052_cov_101.700616,397052,YJAA,gene:plasmid:121457,47152,1,144:528,47680:47971,None,0,0
ERR2198632,NODE_9_length_397052_cov_101.700616,397052,YJAA,gene:plasmid:148203,47528,1,144:528,48056:49670,None,0,0
ERR2198632,NODE_9_length_397052_cov_101.700616,397052,YJAA,gene:plasmid:84559,65042,1,144:528,65570:67715,None,0,0
ERR2198632,NODE_9_length_397052_cov_101.700616,397052,YJAA,gene:plasmid:109300,209600,1,144:528,210128:210661,None,0,0
ERR2198632,NODE_9_length_397052_cov_101.700616,397052,YJAA,gene:plasmid:117449,350531,1,144:528,351059:351520,None,0,0
ERR2198632,NODE_12_length_370488_cov_97.741571,370488,NHAA,gene:proph:181243,163711,1,164326:165493,0.427083333,Low MGE,0,1.46
ERR2198632,NODE_12_length_370488_cov_97.741571,370488,NHAA,gene:plasmid:16111,188804,1,164326:165493,354297:355511,None,0,0
ERR2198632,NODE_14_length_346978_cov_87.344352,346978,MDTA,gene:proph:181243,40030,1,40660:41908,0.4375,Low MGE,0,1.74
ERR2198632,NODE_24_length_287357_cov_108.036511,287357,PSTS,gene:proph:176869,123513,1,30007:31048,154561:156430,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:176788,78580,1,16529:17630,96210:96582,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:181177,85165,1,16529:17630,102795:103149,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:181174,86400,1,16529:17630,104030:104372,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:176768,88472,1,16529:17630,106102:107245,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:176757,95179,1,16529:17630,112809:113505,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:181195,95914,1,16529:17630,113544:114102,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:176755,96473,1,16529:17630,114103:114851,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:181193,97497,1,16529:17630,115127:115310,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:181192,97681,1,16529:17630,115311:115560,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:vir:108541,98548,1,16529:17630,116178:120700,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:vir:1915,103399,1,16529:17630,121029:121391,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:vir:95339,104206,1,16529:17630,121836:122046,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:183003,104417,1,16529:17630,122047:122469,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:176040,105455,1,16529:17630,123085:123325,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:176039,105834,1,16529:17630,123464:123701,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:172516,106072,1,16529:17630,123702:124833,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:172518,108768,1,16529:17630,126398:127022,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:172519,109401,1,16529:17630,127031:127493,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:172520,109916,1,16529:17630,127546:128653,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:172517,111024,1,16529:17630,128654:129061,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:172521,111432,1,16529:17630,129062:129330,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:172522,111703,1,16529:17630,129333:130704,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:181225,113209,1,16529:17630,130839:131231,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:172523,113602,1,16529:17630,131232:131545,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:172524,113916,1,16529:17630,131546:133005,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:181191,120219,1,16529:17630,137849:138431,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:vir:10232,121374,1,16529:17630,139004:139154,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:176758,123573,1,16529:17630,141203:141489,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:176759,124000,1,16529:17630,141630:141927,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:vir:108544,124298,1,16529:17630,141928:143898,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:176763,126287,1,16529:17630,143917:144358,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:176764,126729,1,16529:17630,144359:144882,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:181203,127253,1,16529:17630,144883:145055,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:176765,127426,1,16529:17630,145056:145399,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:181166,127770,1,16529:17630,145400:145586,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:176766,127975,1,16529:17630,145605:145968,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:181168,128339,1,16529:17630,145969:146105,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:176071,128560,1,16529:17630,146190:146574,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:176073,130543,1,16529:17630,148173:148323,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:181171,130803,1,16529:17630,148433:148649,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:176779,131020,1,16529:17630,148650:149146,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:176780,131517,1,16529:17630,149147:149604,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:181180,134057,1,16529:17630,151687:152236,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:181182,136489,1,16529:17630,154119:154326,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:176786,136697,1,16529:17630,154327:155915,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:181184,138286,1,16529:17630,155916:157410,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:181206,140221,1,16529:17630,157851:158880,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:176790,141253,1,16529:17630,158883:159306,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:176791,141677,1,16529:17630,159307:159652,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:181209,142033,1,16529:17630,159663:160242,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:176060,142613,1,16529:17630,160243:160634,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:181211,143005,1,16529:17630,160635:161382,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:176795,143767,1,16529:17630,161397:161820,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:181213,144191,1,16529:17630,161821:162236,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:176797,144607,1,16529:17630,162237:164790,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:176772,147161,1,16529:17630,164791:165116,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:181217,147487,1,16529:17630,165117:165814,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:176774,148189,1,16529:17630,165819:166563,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:176775,148934,1,16529:17630,166564:167132,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:176813,149562,1,16529:17630,167192:170675,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:176778,153097,1,16529:17630,170727:172794,None,0,0
ERR2198632,NODE_32_length_254007_cov_82.549234,254007,CHAA,gene:proph:179433,155451,1,16529:17630,173081:173375,None,0,0
ERR2198632,NODE_42_length_233174_cov_91.935340,233174,EVGA,gene:vir:7156,7296,1,4610:5225,12521:12706,None,0,0
ERR2198632,NODE_42_length_233174_cov_91.935340,233174,EVGA,gene:proph:184644,24819,1,4610:5225,30044:30680,None,0,0
ERR2198632,NODE_42_length_233174_cov_91.935340,233174,EVGA,gene:proph:163981,25479,1,4610:5225,30704:31241,None,0,0
ERR2198632,NODE_42_length_233174_cov_91.935340,233174,EVGA,gene:proph:183597,27671,1,4610:5225,32896:36940,None,0,0
ERR2198632,NODE_42_length_233174_cov_91.935340,233174,EVGA,gene:proph:183583,198041,1,4610:5225,203266:204187,None,0,0
ERR2198632,NODE_44_length_227782_cov_96.566140,227782,DSBC,gene:plasmid:93482,104431,1,107232:107943,1419:2801,None,0,0
ERR2198632,NODE_47_length_216525_cov_80.591847,216525,GADC,gene:plasmid:142103,206816,1,228:1764,208580:209495,None,0,0
ERR2198632,NODE_60_length_203250_cov_103.689181,203250,GADX,gene:plasmid:24694,179069,1,440:1265,180334:180760,None,0,0
ERR2198632,NODE_60_length_203250_cov_103.689181,203250,GADX,gene:plasmid:21818,199504,1,440:1265,200769:202517,None,0,0
ERR2198632,NODE_69_length_189625_cov_94.069238,189625,CORB,gene:proph:163976,7566,1,17851:18535,9948:10285,None,0,0
ERR2198632,NODE_141_length_130599_cov_106.218883,130599,DSBA,gene:plasmid:84585,18274,1,2615:3242,21516:23196,None,0,0
ERR2198632,NODE_183_length_110433_cov_108.699699,110433,CORA,gene:plasmid:123244,28565,1,54519:55470,25577:25954,None,0,0
ERR2198632,NODE_183_length_110433_cov_108.699699,110433,CORA,gene:plasmid:123245,28262,1,54519:55470,25955:26257,None,0,0
ERR2198632,NODE_183_length_110433_cov_108.699699,110433,CORA,gene:plasmid:123246,27850,1,54519:55470,26262:26669,None,0,0
ERR2198632,NODE_183_length_110433_cov_108.699699,110433,CORA,gene:plasmid:123247,27396,1,54519:55470,26724:27123,None,0,0
ERR2198632,NODE_183_length_110433_cov_108.699699,110433,CORA,gene:plasmid:123248,26790,1,54519:55470,27151:27729,None,0,0
ERR2198632,NODE_183_length_110433_cov_108.699699,110433,CORA,gene:plasmid:123249,25742,1,54519:55470,27730:28777,None,0,0
ERR2198632,NODE_183_length_110433_cov_108.699699,110433,CORA,gene:plasmid:123250,24321,1,54519:55470,28778:30198,None,0,0
ERR2198632,NODE_183_length_110433_cov_108.699699,110433,CORA,gene:plasmid:123251,23372,1,54519:55470,30199:31147,None,0,0
ERR2198632,NODE_183_length_110433_cov_108.699699,110433,CORA,gene:plasmid:123252,22966,1,54519:55470,31163:31553,None,0,0
ERR2198632,NODE_183_length_110433_cov_108.699699,110433,CORA,gene:plasmid:123253,21717,1,54519:55470,31578:32802,None,0,0
ERR2198632,NODE_183_length_110433_cov_108.699699,110433,CORA,gene:plasmid:123254,20768,1,54519:55470,32879:33751,None,0,0
ERR2198632,NODE_183_length_110433_cov_108.699699,110433,CORA,gene:plasmid:24561,813,1,54519:55470,56283:56564,None,0,0
ERR2198632,NODE_183_length_110433_cov_108.699699,110433,CORA,gene:proph:159396,11325,1,54519:55470,66795:69005,None,0,0
ERR2198632,NODE_528_length_58036_cov_85.669145,58036,UGD,gene:plasmid:84622,25183,1,14109:15276,40459:40767,None,0,0
ERR2198632,NODE_1403_length_29819_cov_107.019871,29819,RPOB,gene:plasmid:123887,76,1,4091:8120,8196:12284,None,0,0
ERR2198632,NODE_2434_length_18568_cov_116.091774,18568,TETB,gene:plasmid:88444,499,1,2076:3282,597:1577,None,0,0
ERR2198632,NODE_2434_length_18568_cov_116.091774,18568,TETB,gene:plasmid:119652,2735,1,2076:3282,6017:6222,None,0,0
ERR2198632,NODE_2434_length_18568_cov_116.091774,18568,TETB,gene:plasmid:119653,2941,1,2076:3282,6223:6718,None,0,0
ERR2198632,NODE_2434_length_18568_cov_116.091774,18568,TETB,gene:plasmid:119654,3672,1,2076:3282,6954:7716,None,0,0
ERR2198632,NODE_2434_length_18568_cov_116.091774,18568,TETB,gene:plasmid:119655,4780,1,2076:3282,8062:9949,None,0,0
ERR2198632,NODE_2434_length_18568_cov_116.091774,18568,TETB,gene:plasmid:119656,6707,1,2076:3282,9989:10517,None,0,0
ERR2198632,NODE_2434_length_18568_cov_116.091774,18568,TETB,gene:plasmid:119657,7338,1,2076:3282,10620:12000,None,0,0
ERR2198632,NODE_2434_length_18568_cov_116.091774,18568,TETB,gene:plasmid:119658,8720,1,2076:3282,12002:13286,None,0,0
ERR2198632,NODE_2434_length_18568_cov_116.091774,18568,TETB,gene:plasmid:119659,10005,1,2076:3282,13287:14406,None,0,0
ERR2198632,NODE_2434_length_18568_cov_116.091774,18568,TETB,gene:plasmid:119660,11128,1,2076:3282,14410:15106,None,0,0
ERR2198632,NODE_2434_length_18568_cov_116.091774,18568,TETB,gene:plasmid:119661,11825,1,2076:3282,15107:15578,None,0,0
ERR2198632,NODE_2434_length_18568_cov_116.091774,18568,TETB,gene:plasmid:119662,12425,1,2076:3282,15707:16088,None,0,0
ERR2198632,NODE_4848_length_9809_cov_138.387896,9809,TEM,gene:plasmid:119647,5845,1,6240:7486,134:395,None,0,0
ERR2198632,NODE_4848_length_9809_cov_138.387896,9809,TEM,gene:plasmid:139598,4688,1,6240:7486,682:1552,None,0,0
ERR2198632,NODE_4848_length_9809_cov_138.387896,9809,TEM,gene:plasmid:84548,3938,1,6240:7486,1914:2302,None,0,0
